image_id,label
train_1a,rice
train_1b,candy
train_1c,jam
train_1d,coffee
train_2a,vinegar
train_2b,chocolate
train_2c,sugar
train_2d,water
train_3a,juice
train_3b,candy
train_3c,juice
train_3d,juice
train_4a,candy
train_4b,milk
train_4c,coffee
train_4d,rice
train_5a,chocolate
train_5b,soda
train_5c,juice
train_5d,nuts
train_6a,chips
train_6b,spices
train_6c,cereal
train_6d,chips
train_7a,milk
train_7b,cereal
train_7c,candy
train_7d,chocolate
train_8a,beans
train_8b,cake
train_8c,rice
train_8d,cereal
train_9a,nuts
train_9b,juice
train_9c,coffee
train_9d,spices
train_10a,jam
train_10b,honey
train_10c,juice
train_10d,rice
train_11a,coffee
train_11b,chocolate
train_11c,milk
train_11d,vinegar
train_12a,flour
train_12b,pasta
train_12c,candy
train_12d,cereal
train_13a,chips
train_13b,cereal
train_13c,juice
train_13d,honey
train_14a,tomatosauce
train_14b,rice
train_14c,candy
train_14d,tomatosauce
train_15a,tea
train_15b,candy
train_15c,chocolate
train_15d,jam
train_16a,water
train_16b,coffee
train_16c,tea
train_16d,jam
train_17a,vinegar
train_17b,tea
train_17c,cereal
train_17d,flour
train_18a,rice
train_18b,chocolate
train_18c,flour
train_18d,candy
train_19a,corn
train_19b,soda
train_19c,coffee
train_19d,honey
train_20a,coffee
train_20b,vinegar
train_20c,jam
train_20d,coffee
train_21a,tea
train_21b,coffee
train_21c,chocolate
train_21d,cake
train_22a,milk
train_22b,honey
train_22c,oil
train_22d,fish
train_23a,nuts
train_23b,fish
train_23c,chips
train_23d,juice
train_24a,nuts
train_24b,candy
train_24c,corn
train_24d,cereal
train_25a,flour
train_25b,beans
train_25c,chocolate
train_25d,cereal
train_26a,oil
train_26b,corn
train_26c,soda
train_26d,coffee
train_27a,chips
train_27b,vinegar
train_27c,tea
train_27d,cake
train_28a,juice
train_28b,tomatosauce
train_28c,candy
train_28d,rice
train_29a,spices
train_29b,tomatosauce
train_29c,corn
train_29d,water
train_30a,candy
train_30b,cereal
train_30c,milk
train_30d,soda
train_31a,water
train_31b,cereal
train_31c,chips
train_31d,chocolate
train_32a,chocolate
train_32b,cereal
train_32c,milk
train_32d,water
train_33a,honey
train_33b,jam
train_33c,chocolate
train_33d,fish
train_34a,corn
train_34b,tomatosauce
train_34c,soda
train_34d,milk
train_35a,cereal
train_35b,chocolate
train_35c,beans
train_35d,rice
train_36a,chocolate
train_36b,cereal
train_36c,candy
train_36d,nuts
train_37a,honey
train_37b,chocolate
train_37c,tea
train_37d,soda
train_38a,milk
train_38b,sugar
train_38c,honey
train_38d,tomatosauce
train_39a,cereal
train_39b,candy
train_39c,chocolate
train_39d,cake
train_40a,candy
train_40b,coffee
train_40c,candy
train_40d,rice
train_41a,juice
train_41b,tomatosauce
train_41c,tomatosauce
train_41d,spices
train_42a,fish
train_42b,soda
train_42c,tea
train_42d,coffee
train_43a,water
train_43b,rice
train_43c,chocolate
train_43d,chocolate
train_44a,soda
train_44b,nuts
train_44c,rice
train_44d,juice
train_45a,chocolate
